keyword,concept_family,series,strategy_level,goal,additional_description
high seas mpas,mpas_area_based,protection,"regional, sub-regional",oceans,marine protected areas in high seas
transboundary mpas,mpas_area_based,protection,"regional, sub-regional",oceans,"peace parks, marine biological corridors; marine protected areas that cross territorial boundaries"
finalization of maritime boundaries,highseas_governance,"protection, sustainable use","regional, sub-regional, national",oceans,
maritime boundaries,highseas_governance,"protection, sustainable use","regional, sub-regional, national",oceans,
mpa,mpas_area_based,protection,"national, sub-national, local",oceans,marine protected areas (mpas) and mpa networks
mpa networks,mpas_area_based,protection,"national, sub-national, local",oceans,marine protected areas (mpas) and mpa networks
oecms,mpas_area_based,protection,"national, sub-national, local",oceans,other effective area-based conservation measures
inshore exclusion zones,mpas_area_based,protection,"national, sub-national, local",oceans,
high seas pockets joint management agreements,highseas_governance,sustainable use,"regional, sub-regional",oceans,"tuna, others"
high seas pockets,highseas_governance,sustainable use,"regional, sub-regional",oceans,"tuna, others"
pna skipjack management in high seas,highseas_governance,sustainable use,"regional, sub-regional",oceans,"vds, closures, effort controls, market influence"
impact management of relevant sectors,ocean_sectors_impact,sustainable use,"regional, sub-regional",oceans,"transport, energy"
sustainable fisheries management and value chains,fisheries_management,sustainable use,"national, sub-national",oceans,"tuna and other species, infrastructure, national enterprises"
value chains,fisheries_management,sustainable use,"national, sub-national",oceans,"tuna and other species, infrastructure, national enterprises"
sustainable tourism development,ocean_tourism,sustainable use,"national, sub-national",oceans,
areas of biological importance,mpas_area_based,protection,"national, sub-national, local",oceans,
biosphere reserves,mpas_area_based,protection,"national, sub-national, local",oceans,
coastal stewardship zones,mpas_area_based,sustainable use,local,oceans,"LLMAs, traditional governance, CBFM zones"
community-based enterprises,ocean_livelihoods_enterprises,sustainable use,local,oceans,"home stays, local guide training, aquaculture, post-harvest processing"
national ocean policies and other enabling legislation and regulations,ocean_governance,policy & governance,foundational,oceans,
institutional arrangements,ocean_governance,policy & governance,foundational,oceans,
local ordinances and traditional governance and management bodies,ocean_governance,policy & governance,foundational,oceans,
integrated food system strategies and data systems,food_systems_planning,"sustainable production, optimal processing distribution and consumption","regional, sub-regional",food,"with climate resilience, nutrition, and biodiversity goals"
biosecurity protocols,biosecurity_food_safety,"sustainable production, optimal processing distribution and consumption","regional, sub-regional",food,
areas and species of biological importance,landscapes_restoration_production,sustainable production,"regional, sub-regional",food,
seed banks,landscapes_restoration_production,sustainable production,"regional, sub-regional",food,
nutrient density maps,food_systems_planning,sustainable production,"regional, sub-regional",food,
food safety and labeling,biosecurity_food_safety,optimal processing distribution and consumption,"regional, sub-regional",food,
sustainable land management plans,landscapes_restoration_production,sustainable production,"national, sub-national",food,
habitat restoration,landscapes_restoration_production,sustainable production,"national, sub-national",food,"reforestation, mangrove planting, erosion control"
agri-tourism corridors,food_tourism_culture,sustainable production,"national, sub-national",food,
communal agroforestry areas,landscapes_restoration_production,sustainable production,local,food,
household regenerative agriculture,landscapes_restoration_production,sustainable production,local,food,
small-scale regenerative agriculture,landscapes_restoration_production,sustainable production,local,food,
community-based pest and invasive species monitoring,biosecurity_food_safety,sustainable production,local,food,
logistics infrastructure,food_logistics_markets,optimal processing distribution and consumption,"national, sub-national",food,processing and packaging centers
nutrient-rich school environments,food_community_nutrition,optimal processing distribution and consumption,"national, sub-national",food,
waste recovery enterprises,food_logistics_markets,optimal processing distribution and consumption,"national, sub-national",food,
local market opportunities,food_logistics_markets,optimal processing distribution and consumption,local,food,"mobile markets, farmer clusters, and food basket schemes"
food|culture activities,food_tourism_culture,optimal processing distribution and consumption,local,food,"traditional food fairs, storytelling workshops and cooking demonstrations"
fiscal policy and other enabling legislation and regulations,food_governance,policy & governance,foundational,food,
institutional arrangements,food_governance,policy & governance,foundational,food,
model frameworks for different financing mechanisms,finance_system_design_regulation,systems & architecture,"regional, sub-regional",finance,
regulatory analysis,finance_system_design_regulation,systems & architecture,"regional, sub-regional",finance,
regional training for actors in the system,finance_capacity_building,systems & architecture,"regional, sub-regional",finance,
lender certification,finance_capacity_building,systems & architecture,"regional, sub-regional",finance,
new or updated legislation for various mechanisms,finance_system_design_regulation,systems & architecture,national,finance,
finance regulations,finance_system_design_regulation,systems & architecture,national,finance,"budget tagging, concessional lending rules"
technical training for national authorities and agencies,finance_capacity_building,systems & architecture,national,finance,
coaching for small-medium scale enterprises,finance_enterprise_support,systems & architecture,national,finance,
local bylaws & mous,finance_system_design_regulation,systems & architecture,local,finance,
legal support for implementers and enterprises,finance_legal_support,systems & architecture,local,finance,
financial literacy for implementers and enterprises,finance_capacity_building,systems & architecture,local,finance,
enterprise coaching,finance_enterprise_support,systems & architecture,local,finance,
regional standards,finance_system_design_regulation,policy & governance,foundational,finance,
cross-goal alignment,finance_system_design_regulation,policy & governance,foundational,finance,
fund governance,finance_system_design_regulation,policy & governance,foundational,finance,
legal templates,finance_system_design_regulation,policy & governance,foundational,finance,
technical assistance & transaction facility,finance_instruments_vehicles,finance delivery & instruments,"regional, sub-regional",finance,"advisory, pipeline development, structuring support"
guarantee pools,finance_instruments_vehicles,finance delivery & instruments,"regional, sub-regional",finance,"first-loss, donor/philanthropy windows"
investment hub,finance_instruments_vehicles,finance delivery & instruments,"regional, sub-regional",finance,
dashboards|matchmaking,finance_instruments_vehicles,finance delivery & instruments,"regional, sub-regional",finance,
incubators & small-medium enterprise windows,finance_instruments_vehicles,finance delivery & instruments,national,finance,"aggregation, logistics, equity participation"
incubators & sme windows,finance_instruments_vehicles,finance delivery & instruments,national,finance,"aggregation, logistics, equity participation"
sector pipelines,finance_instruments_vehicles,finance delivery & instruments,national,finance,"blue food, ecotourism, waste recovery, resilience"
concessional facilities,finance_instruments_vehicles,finance delivery & instruments,national,finance,"anchor grants, revolving funds, co-investment guidelines"
community loan funds,finance_instruments_vehicles,finance delivery & instruments,local,finance,"co-op equity pools, microfinance aggregation"
micro-finance platforms,finance_instruments_vehicles,finance delivery & instruments,local,finance,
marine protected area,mpas_area_based,protection,"regional, sub-regional",oceans,
marine reserve,mpas_area_based,protection,"regional, sub-regional",oceans,
marine park,mpas_area_based,protection,"regional, sub-regional",oceans,
no-take zone,mpas_area_based,protection,"regional, sub-regional",oceans,
marine conservation area,mpas_area_based,protection,"regional, sub-regional",oceans,
area-based conservation,mpas_area_based,protection,"regional, sub-regional",oceans,
areas beyond national jurisdiction,highseas_governance,protection,"regional, sub-regional, national",oceans,
ABNJ,highseas_governance,protection,"regional, sub-regional, national",oceans,
maritime boundary,highseas_governance,protection,"regional, sub-regional, national",oceans,
eez boundary,highseas_governance,protection,"regional, sub-regional, national",oceans,
extended continental shelf,highseas_governance,protection,"regional, sub-regional, national",oceans,
fishery,fisheries_management,sustainable use,"national, sub-national",oceans,
fishery management,fisheries_management,sustainable use,"national, sub-national",oceans,
fisheries,fisheries_management,sustainable use,"national, sub-national",oceans,
fisheries management,fisheries_management,sustainable use,"national, sub-national",oceans,
fishing effort,fisheries_management,sustainable use,"national, sub-national",oceans,
fishing gear,fisheries_management,sustainable use,"national, sub-national",oceans,
fishing right,fisheries_management,sustainable use,"national, sub-national",oceans,
fishing quota,fisheries_management,sustainable use,"national, sub-national",oceans,
fish stock,fisheries_management,sustainable use,"national, sub-national",oceans,
stock assessment,fisheries_management,sustainable use,"national, sub-national",oceans,
blue food,fisheries_management,sustainable use,"national, sub-national",oceans,
tourism,ocean_tourism,,,oceans,
tourists,ocean_tourism,,,oceans,
eco-tourism,ocean_tourism,sustainable use,"national, sub-national",oceans,
nature-based tourism,ocean_tourism,sustainable use,"national, sub-national",oceans,
marine tourism,ocean_tourism,sustainable use,"national, sub-national",oceans,
coastal tourism,ocean_tourism,sustainable use,"national, sub-national",oceans,
livelihood,ocean_livelihoods_enterprises,sustainable use,local,oceans,
community-based enterprise,ocean_livelihoods_enterprises,sustainable use,local,oceans,
coastal business,ocean_livelihoods_enterprises,sustainable use,local,oceans,
coastal businesses,ocean_livelihoods_enterprises,sustainable use,local,oceans,
small fishery enterprise,ocean_livelihoods_enterprises,sustainable use,local,oceans,
small-fishery enterprise,ocean_livelihoods_enterprises,sustainable use,local,oceans,
small tourism enterprise,ocean_livelihoods_enterprises,sustainable use,local,oceans,
small-tourism enterprise,ocean_livelihoods_enterprises,sustainable use,local,oceans,
ocean policy,ocean_governance,policy & governance,foundational,oceans,
ocean policies,ocean_governance,policy & governance,foundational,oceans,
national ocean policy,ocean_governance,policy & governance,"national, sub-national",oceans,
national ocean policies,ocean_governance,policy & governance,"national, sub-national",oceans,
marine spatial|marine spatial planning,ocean_governance,policy & governance,"national, sub-national",oceans,
marine governance,ocean_governance,policy & governance,"national, sub-national",oceans,
enabling legislation,ocean_governance,policy & governance,"national, sub-national",oceans,
marine regulation,ocean_governance,policy & governance,"national, sub-national",oceans,
food system,food_systems_planning,"sustainable production, optimal processing distribution and consumption","regional, sub-regional",food,
nutrition data,food_systems_planning,"sustainable production, optimal processing distribution and consumption","regional, sub-regional",food,
diet quality data,food_systems_planning,"sustainable production, optimal processing distribution and consumption","regional, sub-regional",food,
food environment,food_systems_planning,"sustainable production, optimal processing distribution and consumption","regional, sub-regional",food,
bio-security,biosecurity_food_safety,"sustainable production, optimal processing distribution and consumption","regional, sub-regional",food,
biosafety,biosecurity_food_safety,"sustainable production, optimal processing distribution and consumption","regional, sub-regional",food,
quarantine,biosecurity_food_safety,"sustainable production, optimal processing distribution and consumption","regional, sub-regional",food,
food safety,biosecurity_food_safety,"sustainable production, optimal processing distribution and consumption","regional, sub-regional",food,
food label|food labelling,biosecurity_food_safety,"sustainable production, optimal processing distribution and consumption","regional, sub-regional",food,
pest,biosecurity_food_safety,"sustainable production, optimal processing distribution and consumption","regional, sub-regional",food,
invasive species,biosecurity_food_safety,"sustainable production, optimal processing distribution and consumption","regional, sub-regional",food,
invasive,biosecurity_food_safety,"sustainable production, optimal processing distribution and consumption","regional, sub-regional",food,
sustainable land management,landscapes_restoration_production,sustainable production,"regional, sub-regional",food,
SLM,landscapes_restoration_production,sustainable production,"regional, sub-regional",food,
landscape restoration,landscapes_restoration_production,sustainable production,"regional, sub-regional",food,
habitat restoration,landscapes_restoration_production,sustainable production,"regional, sub-regional",food,
agroforestry,landscapes_restoration_production,sustainable production,"regional, sub-regional",food,
regenerative agriculture,landscapes_restoration_production,sustainable production,"regional, sub-regional",food,
agri-tourism,food_tourism_culture,sustainable production,"national, sub-national",food,
food tourism,food_tourism_culture,sustainable production,"national, sub-national",food,
culinary tourism,food_tourism_culture,sustainable production,"national, sub-national",food,
food culture,food_tourism_culture,sustainable production,"national, sub-national",food,
traditional food,food_tourism_culture,sustainable production,"national, sub-national",food,
food logistics,food_logistics_markets,optimal processing distribution and consumption,"national, sub-national",food,
cold chain,food_logistics_markets,optimal processing distribution and consumption,"national, sub-national",food,
aggregation center,food_logistics_markets,optimal processing distribution and consumption,"national, sub-national",food,
processing and packaging,food_logistics_markets,optimal processing distribution and consumption,"national, sub-national",food,
local market opportunities,food_logistics_markets,optimal processing distribution and consumption,local,food,
farmers?'? market,food_logistics_markets,optimal processing distribution and consumption,local,food,
waste recovery,food_logistics_markets,optimal processing distribution and consumption,"national, sub-national",food,
food waste recovery,food_logistics_markets,optimal processing distribution and consumption,local,food,
school feeding,food_community_nutrition,optimal processing distribution and consumption,"national, sub-national",food,
school meal,food_community_nutrition,optimal processing distribution and consumption,"national, sub-national",food,
healthy school food,food_community_nutrition,optimal processing distribution and consumption,"national, sub-national",food,
community nutrition,food_community_nutrition,optimal processing distribution and consumption,"national, sub-national",food,
diet diversity,food_community_nutrition,optimal processing distribution and consumption,"national, sub-national",food,
nutrition education,food_community_nutrition,optimal processing distribution and consumption,"national, sub-national",food,
fiscal policy for food,food_governance,policy & governance,foundational,food,
food policy,food_governance,policy & governance,foundational,food,
nutrition policy,food_governance,policy & governance,foundational,food,
enabling legislation for food,food_governance,policy & governance,foundational,food,
enabling legislation for nutrition,food_governance,policy & governance,foundational,food,
nutrition,food_governance,policy & governance,foundational,food,
regulatory framework,finance_system_design_regulation,systems & architecture,"regional, sub-regional",finance,
regulatory analysis,finance_system_design_regulation,systems & architecture,"regional, sub-regional",finance,
financial regulation,finance_system_design_regulation,systems & architecture,"regional, sub-regional",finance,
prudential regulation,finance_system_design_regulation,systems & architecture,"regional, sub-regional",finance,
legal framework for finance,finance_system_design_regulation,systems & architecture,"regional, sub-regional",finance,
legal framework for investment,finance_system_design_regulation,systems & architecture,"regional, sub-regional",finance,
legal framework for lending,finance_system_design_regulation,systems & architecture,"regional, sub-regional",finance,
financial literacy training,finance_capacity_building,systems & architecture,,finance,
training for lender,finance_capacity_building,systems & architecture,,finance,
capacity building for bank,finance_capacity_building,systems & architecture,,finance,
capacity building for lender,finance_capacity_building,systems & architecture,,finance,
capacity building for investor,finance_capacity_building,systems & architecture,,finance,
SMEs? incubator,finance_enterprise_support,systems & architecture,national,finance,
accelerator,finance_enterprise_support,systems & architecture,national,finance,
enterprise coaching,finance_enterprise_support,systems & architecture,national,finance,
business advisory,finance_enterprise_support,systems & architecture,national,finance,
SME support program,finance_enterprise_support,systems & architecture,national,finance,
guarantee fund,finance_instruments_vehicles,finance delivery & instruments,"regional, sub-regional",finance,
guarantee facility,finance_instruments_vehicles,finance delivery & instruments,"regional, sub-regional",finance,
guarantee pools,finance_instruments_vehicles,finance delivery & instruments,"regional, sub-regional",finance,
concessional loan,finance_instruments_vehicles,finance delivery & instruments,national,finance,
concessional facility,finance_instruments_vehicles,finance delivery & instruments,national,finance,
concessional finance,finance_instruments_vehicles,finance delivery & instruments,national,finance,
micro-finace,finance_instruments_vehicles,finance delivery & instruments,"regional, sub-regional",finance,
community loan fund,finance_instruments_vehicles,finance delivery & instruments,local,finance,
TA facility,finance_instruments_vehicles,finance delivery & instruments,"regional, sub-regional",finance,
TA facilities,finance_instruments_vehicles,finance delivery & instruments,"regional, sub-regional",finance,
transaction facility,finance_instruments_vehicles,finance delivery & instruments,"regional, sub-regional",finance,
transaction facilities,finance_instruments_vehicles,finance delivery & instruments,"regional, sub-regional",finance,
investment pipeline,finance_instruments_vehicles,finance delivery & instruments,"regional, sub-regional",finance,
deal pipeline,finance_instruments_vehicles,finance delivery & instruments,"regional, sub-regional",finance,
